Date,Views,Log_Views,Log_Diff
2015-07-01,133772,11.803892137213225,
2015-08-01,121582,11.708344211241437,-0.09554792597178796
2015-09-01,93157,11.442041520817673,-0.266302690423764
2015-10-01,99713,11.51005133862326,0.06800981780558679
2015-11-01,79982,11.289556888339721,-0.22049445028353887
2015-12-01,142481,11.86696393646783,0.5774070481281086
2016-01-01,124584,11.732735466175175,-0.13422847029265483
2016-02-01,96764,11.48003030326596,-0.25270516290921563
2016-03-01,81558,11.309069702563303,-0.1709606007026565
2016-04-01,90046,11.40807592985072,0.09900622728741659
2016-05-01,90795,11.416359496993897,0.00828356714317735
2016-06-01,78668,11.272991744348545,-0.14336775264535184
2016-07-01,91893,11.428380135692988,0.15538839134444338
2016-08-01,88837,11.394558508865478,-0.03382162682751044
2016-09-01,75823,11.236156955684022,-0.15840155318145577
2016-10-01,84882,11.34901733568699,0.11286038000296728
2016-11-01,104250,11.554547139661048,0.20552980397405918
2016-12-01,95461,11.46647306609689,-0.08807407356415808
2017-01-01,90100,11.40867544359643,-0.05779762250046083
2017-02-01,86530,11.368246453600785,-0.040428989995644926
2017-03-01,88892,11.39517742870136,0.026930975100574628
2017-04-01,74209,11.214640715600513,-0.18053671310084596
2017-05-01,73135,11.200062327321188,-0.014578388279325338
2017-06-01,85284,11.353742142614896,0.15367981529370844
2017-07-01,97094,11.48343486040317,0.12969271778827363
2017-08-01,74961,11.22472325727156,-0.25871160313161035
2017-09-01,105167,11.56330484186238,0.3385815845908198
2017-10-01,114959,11.652330822037271,0.08902598017489183
2017-11-01,94825,11.459788366557099,-0.19254245548017224
2017-12-01,103854,11.550741345654453,0.090952979097354
2018-01-01,107480,11.585060062729427,0.03431871707497436
2018-02-01,101485,11.527666283291726,-0.0573937794377013
2018-03-01,107101,11.581527593460411,0.053861310168684895
2018-04-01,105232,11.563922715541132,-0.017604877919279005
2018-05-01,93234,11.442867741014789,-0.12105497452634317
2018-06-01,84046,11.339119546984477,-0.10374819403031132
2018-07-01,112231,11.62831452624415,0.28919497925967264
2018-08-01,112620,11.63177459880861,0.003460072564459793
2018-09-01,91108,11.419800894979753,-0.21197370382885694
2018-10-01,77218,11.254387869456917,-0.16541302552283632
2018-11-01,93860,11.449559589348409,0.1951717198914924
2018-12-01,111334,11.620289971296751,0.1707303819483421
2019-01-01,84093,11.339678608251932,-0.2806113630448195
2019-02-01,64066,11.067669080968816,-0.27200952728311556
2019-03-01,73009,11.19833800020246,0.13066891923364388
2019-04-01,69236,11.14527623754629,-0.053061762656170686
2019-05-01,133877,11.804676746947516,0.6594005094012267
2019-06-01,80104,11.291081069387639,-0.5135956775598771
2019-07-01,101296,11.525802202783908,0.23472113339626866
2019-08-01,111024,11.61750167313933,0.09169947035542236
2019-09-01,103552,11.547829180978109,-0.06967249216122084
2019-10-01,86905,11.372570846997581,-0.17525833398052804
2019-11-01,103390,11.54626352458074,0.17369267758315843
2019-12-01,104189,11.553961836510089,0.007698311929349444
2020-01-01,98552,11.49833960664181,-0.055622229868278694
2020-02-01,110408,11.611937873967875,0.11359826732606493
2020-03-01,114742,11.650441408716866,0.038503534748990376
2020-04-01,154238,11.946252142955323,0.29581073423845794
2020-05-01,131172,11.784264718081836,-0.16198742487348738
2020-06-01,148912,11.911110806425492,0.1268460883436564
2020-07-01,143077,11.871138225862111,-0.039972580563381044
2020-08-01,133035,11.798367530478663,-0.07277069538344882
2020-09-01,118747,11.684750458419874,-0.11361707205878879
2020-10-01,139509,11.845884394291513,0.16113393587163927
2020-11-01,108453,11.594072178389709,-0.25181221590180414
2020-12-01,145762,11.88973043358516,0.29565825519545186
2021-01-01,135750,11.818570237796182,-0.0711601957889787
2021-02-01,112893,11.634195746444085,-0.18437449135209683
2021-03-01,103702,11.549276680434724,-0.08491906600936083
2021-04-01,92864,11.43889133624386,-0.1103853441908651
2021-05-01,108876,11.59796489895763,0.15907356271377004
2021-06-01,136716,11.825661060486116,0.22769616152848648
2021-07-01,140476,11.852791934659457,0.02713087417334137
2021-08-01,144616,11.881837232654691,0.02904529799523381
2021-09-01,102918,11.54168783363788,-0.34014939901681096
2021-10-01,118074,11.679066825535145,0.13737899189726477
2021-11-01,100340,11.516319698038243,-0.16274712749690146
2021-12-01,134299,11.807823936467226,0.291504238428983
2022-01-01,115401,11.656168298529856,-0.15165563793737036
2022-02-01,75434,11.231013380740361,-0.4251549177894951
2022-03-01,84657,11.34636307758596,0.11534969684559826
2022-04-01,93383,11.44446459480262,0.09810151721666038
2022-05-01,115269,11.655023806273313,0.21055921147069334
2022-06-01,118029,11.678685635964959,0.023661829691645764
2022-07-01,127433,11.755346015266177,0.07666037930121838
2022-08-01,219899,12.300923629010912,0.5455776137447348
2022-09-01,138708,11.840126283082268,-0.4607973459286434
2022-10-01,162506,11.998470203147212,0.1583439200649437
2022-11-01,158186,11.971526834824505,-0.026943368322706718
2022-12-01,228904,12.341057980667834,0.3695311458433288
2023-01-01,136422,11.823508301708193,-0.5175496789596412
2023-02-01,99541,11.50832489857466,-0.315183403133533
2023-03-01,141533,11.860288184422615,0.35196328584795467
2023-04-01,131479,11.78660242202973,-0.07368576239288416
2023-05-01,126728,11.749798336368686,-0.03680408566104454
2023-06-01,122228,11.713643432042332,-0.03615490432635404
2023-07-01,162140,11.996215438541698,0.2825720064993664
2023-08-01,142448,11.866732299813453,-0.12948313872824535
2023-09-01,128753,11.765651119225392,-0.1010811805880607
2023-10-01,165035,12.013912851600315,0.24826173237492277
2023-11-01,205992,12.235592612066165,0.22167976046585025
